CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro (2)/anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc,,,,
Miami,City Hall,FL,USA,2017-02-07,,24,24,24,26.4,21.6,general protesters,Against city compliance with federal immigration,1,protest,0,0,0,0,1,1,http://www.local10.com/news/florida/miami-dade/protesters-confront-miami-dade-commissioners-over-new-immigration-policy,http://www.miamiherald.com/news/local/community/miami-dade/article131216444.html?utm_source=dlvr.it&utm_medium=twitter,,,,,,
Port Orange,City Hall,FL,USA,2017-02-07,,200,250,300,220,270,general protesters,Against immigration executive order,1,protest,0,0,0,0,1,1,http://www.news-journalonline.com/news/20170207/travel-ban-protesters-clash-with-trump-supporters-in-port-orange/1,,,,,,,
Lawrenceville,75 Langley Drive,GA,USA,2017-02-07,,24,24,24,26.4,21.6,general protesters,Demanding resignation of Gwinnett County Commissioner Tommy Hunter for racist comments,0,protest,0,0,0,0,1,1,http://www.ajc.com/news/local-govt--politics/racist-pig-post-spurs-more-protests-ethics-talk-gwinnett/ijOor3bZhdoQJR8RbYxONN/,,,,,,,
Charleston,Eastern Illinois University,IL,USA,2017-02-07,,35,35,35,38.5,31.5,EIU College Democrats,"Against ""Muslim ban""",1,protest,0,0,0,0,1,1,http://jg-tc.com/news/eiu-march-participants-protest-trump-policies/article_f44928d3-8d1f-532c-bb20-04db97c3285f.html,,,,,,,
Indianapolis,,IN,USA,2017-02-07,,16,16,16,17.6,14.4,general protesters,"Against ""travel ban"" and DeVos nomination",1,protest,0,0,0,0,1,1,http://www.wibc.com/news/local-news/protest-todd-youngs-why-group-says-theyll-be-back (headcount from video),,,,,,,
Troy,625 East Big Beaver Rd.,MI,USA,2017-02-07,,50,50,50,55,45,Michigan People's Campaign,Against repeal of Affordable Care Act,1,protest,0,0,0,0,1,1,http://www.theoaklandpress.com/general-news/20170207/protesters-call-congressman-trott-chicken-demand-aca-stay-in-force,,,,,,,
Kansas City,1000 Walnut St.,MO,USA,2017-02-07,,100,100,100,110,90,Indivisible Kansas City,"Against ""travel ban"" and DeVos nomination",1,rally,0,0,0,0,1,1,http://fox4kc.com/2017/02/07/protesters-gather-in-downtown-kc-opposing-travel-ban-and-betsy-devos/,,,,,,,
Long Beach,Univ of Southern Mississippi’s Long Beach campus,MS,USA,2017-02-07,,130,130,130,143,117,students; general protesters,anti-immigration ban; anti-Wall on US-Mexico border,1,protest,0,0,0,0,1,1,http://www.sunherald.com/news/politics-government/article131375424.html,,,,,,,
New Brunswick,City Hall,NJ,USA,2017-02-07,,24,62,100,26.4,90,New Jersey Working Families Alliance,Demanding New Brunswick be a Sanctuary City,1,protest,0,0,0,0,1,1,http://www.nj.com/middlesex/index.ssf/2017/02/protesters_rail_against_new_brunswicks_refusal_to.html,http://www.app.com/story/news/local/communitychange/2017/02/07/protesters-rally-sanctuary-cities-new-brunswick-city-hall/97625586/,https://www.tapinto.net/towns/new-brunswick/articles/protesters-take-to-city-hall-demand-protections-1,,,,,
Albany,State House,NY,USA,2017-02-07,,24,24,24,26.4,21.6,general protesters,Demanding higher NY state taxes on the wealthy,1,protest,0,0,0,0,1,1,http://cbs6albany.com/news/local/protesters-yelling-tax-the-rich-interrupt-ny-lawmakers,,,,,,,
Buffalo,,NY,USA,2017-02-07,,18,18,18,19.8,16.2,general protesters,Against Rep. Chris Collins statements on immigration ban,1,protest,0,0,0,0,1,1,http://www.wgrz.com/news/local/protesters-against-collins-comments/403063161,,,,,,,
New York,Foley Square,NY,USA,2017-02-07,,200,600,1000,220,900,students,Against immigration executive order,1,march,0,0,0,0,1,1,http://www.amny.com/news/politics/nyc-students-protest-trump-s-ban-on-refugees-immigrants-1.13074563,http://www.kpax.com/story/34456217/more-than-1000-nyc-high-school-students-leave-school-early-to-protest-president-trump,http://www.fox5ny.com/news/234359820-story,,,,,
New York,200 West St.,NY,USA,2017-02-07,,200,200,200,220,180,"Government Sachs, Resist Here",Against political influence of Goldman Sachs and JP Morgan Chase,1,march,0,0,0,0,0,1,http://www.cnbc.com/2017/02/07/nyc-protesters-march-on-goldman-sachs-jpmorgan-chase-for-trump-ties.html,,,,,,,
Riverhead,30 W Main St.,NY,USA,2017-02-07,,50,50,50,55,45,Let's Visit Lee Zeldin,Demanding meeting with Rep. Zeldin to discuss Trump presidency,1,protest,0,0,0,0,1,1,http://www.newsday.com/long-island/politics/spin-cycle/protesters-demand-meeting-with-u-s-rep-lee-zeldin-1.13077822,,,,,,,
Annville,Lebanon Valley College,PA,USA,2017-02-07,,50,50,50,55,45,Lebanon Valley College Students,Against racial slurs on campus,0,march,0,0,0,0,1,1,http://abc27.com/2017/02/07/protestors-push-for-positive-change-after-reported-racial-incident/,,,,,,,
Philadelphia,8 Penn Center,PA,USA,2017-02-07,,200,200,200,220,180,general protesters,Against Puzder nomination for Secretary of Labor,1,protest,0,0,0,0,1,1,http://www.phillyvoice.com/during-tuesdays-toomey-event-protesters-learned-devos-nomination/,,,,,,,
Pittsburgh,Station Square,PA,USA,2017-02-07,,250,275,300,275,270,high school students,Against DeVos Nomination for Secretary of Education,1,demonstration,0,0,0,0,1,1,http://pittsburgh.cbslocal.com/2017/02/08/pittsburgh-public-schools-students-protest-devos-confirmation/,,,,,,,
Pittsburgh,Hot Metal Bridge,PA,USA,2017-02-07,,100,100,100,110,90,general protesters,Demanding release of undocumented immigrant Martin Esquivel Hernandez,1,protest,0,0,0,0,0,1,http://pittnews.com/article/116689/top-stories/protesters-make-plea-bring-martin-esquivel-hernandez-home/,,,,,,,
Dallas,8111 Westchester Dr.,TX,USA,2017-02-07,,150,150,150,165,135,general protesters,Against Dakota Access Pipeline,1,march,0,0,0,0,1,1,http://www.dallasnews.com/business/business/2017/02/07/dakota-access-pipeline-gets-final-approval-needs-move-forward,,,,,,,
Dallas,7989 W. Virginia Dr.,TX,USA,2017-02-07,,24,24,24,26.4,21.6,general protesters,Defunding Planned Parenthood,1,protest,0,0,0,0,0,1,http://www.dallasnews.com/news/southern-dallas/2017/02/11/dallas-satanist-forney-youth-minister-take-time-chat-dueling-planned-parenthood-protests,,,,,,,
Dallas,7989 W. Virginia Dr.,TX,USA,2017-02-07,,24,24,24,26.4,21.6,general protesters,Supporting Planned Parenthood,1,protest,0,0,0,0,0,1,http://www.dallasnews.com/news/southern-dallas/2017/02/11/dallas-satanist-forney-youth-minister-take-time-chat-dueling-planned-parenthood-protests,,,,,,,
San Antonio,,TX,USA,2017-02-07,,,,,,,PETA,Demanding release of last pregnant Orca,0,march,0,0,0,0,1,1,http://www.kens5.com/news/local/animals/pregnant-peta-protesters-demand-seaworld-free-killer-whales/402974112,,,,,,,
Charlottesville,705 Dale Ave,VA,USA,2017-02-07,,200,200,200,220,180,Indivisible Charlottesville,Against immigration executive order,1,march,0,0,0,0,1,1,http://www.dailyprogress.com/news/virginia_politics/protesters-call-on-rep-garrett-to-oppose-trump-administration/article_a65bb990-ed6f-11e6-af26-33cd01e5e228.html,,,,,,,
Richmond,Capitol Square,VA,USA,2017-02-07,,12,12,12,13.2,10.8,"Progress Virginia, NARAL Pro-Choice Virginia, Virginia Latina Advocacy Network, Virginia Civic Engagement Table, Planned Parenthood Advocates of Virginia",In support of Planed Parenthood,1,protest,0,0,0,0,1,1,http://wjla.com/news/local/va-house-votes-to-defund-planned-parenthood-despite-womens-rights-protests-at-capitol,,,,,,,
Richmond,City Hall,VA,USA,2017-02-07,,24,24,24,26.4,21.6,general protesters,Demanding city shut down local compost facility,0,protest,0,0,0,0,0,1,http://www.richmond-news.com/news/protesters-raise-a-stink-at-city-hall-1.9716090,,,,,,,
Phoenix,ICE Facility,AZ,USA,2017-02-08,,100,100,100,110,90,Puente Arizona,Against deportation of undocumented immigrant,1,Nonviolent blockade,7,0,0,0,1,1,http://www.usatoday.com/story/news/nation-now/2017/02/08/deported-trump-guadalupe-garcia-de-rayo/97678236/,http://www.cnn.com/2017/02/09/us/arizona-guadalupe-garcia-de-rayos-protests/,http://www.nydailynews.com/news/national/undocumented-arizona-woman-detained-display-trump-order-article-1.2968030,,,,,
Fullerton,Cal State Fullerton,CA,USA,2017-02-08,,45,45,45,49.5,40.5,Students for Justice in Palestine,Against immigration executive order,1,march,0,0,0,0,1,1,http://www.ocregister.com/articles/republicans-743488-willey-instructor.html,,,,,,,
Los Angeles,915 Wilshire Blvd,CA,USA,2017-02-08,,500,500,500,550,450,March and Rally Los Angeles,Against Dakota Access Pipeline,1,"rally, march",0,0,0,0,1,1,http://abc7.com/news/anti-dakota-access-pipeline-protesters-rally-march-in-downtown-la/1745400/,,,,,,,
San Francisco,SF Federal Building,CA,USA,2017-02-08,,24,24,24,26.4,21.6,Trade Unionists for Standing Rock,Against Dakota Access Pipeline,1,protest / sit-in,20,0,0,0,1,1,http://sanfrancisco.cbslocal.com/2017/02/08/dakota-pipeline-protesters-block-sf-federal-building-after-project-gets-okd/,FB group,onsite eyewitness,,,,,
San Francisco,7th & Mission,CA,USA,2017-02-08,,200,200,200,220,180,Idle No More S F Bay,Against Dakota Access Pipeline,1,protest,,,,,0,1,FB group,onsite eyewitness,,,,,,
Denver,16th Street Mall,CO,USA,2017-02-08,,100,100,100,110,90,International Indigenous Youth Council,Against Dakota Access Pipeline,1,march,0,0,0,0,1,1,https://twitter.com/climatejourney/status/829445911218642951,,,,,,,
Steamboat Springs,200 Lincoln Ave,CO,USA,2017-02-08,,4,4,4,4.4,3.6,Steamboat Stands with Standing Rock,Against Dakota Access Pipeline,1,protest,0,0,0,0,1,1,https://www.facebook.com/steamboat4standingrock/,,,,,,,
Washington,White House,DC,USA,2017-02-08,,200,200,200,220,180,general protesters,Against Dakota Access Pipeline,1,demonstration,0,0,0,0,1,1,http://www.huffingtonpost.com/entry/no-dakota-access-pipeline-last-stand_us_589b6bc5e4b04061313b0649?,,,,,,,
Washington,,DC,USA,2017-02-08,,100,100,100,110,90,general protesters,Against silencing of Sen. Warren,1,protest,0,0,0,0,0,1,http://dcist.com/2017/02/as_the_senate_confirmed_sessions_ne.php,,,,,,,
Orlando,University of Central Florida,FL,USA,2017-02-08,,300,300,300,330,270,Students Organize for Syria,Against immigration executive order,1,protest,0,0,0,0,1,1,http://knightnews.com/2017/02/march-for-humanity-ucf-protests-anti-immigration-ban/,http://www.orlandoweekly.com/Blogs/archives/2017/02/09/ucf-students-protest-immigration-ban-petition-to-make-school-sanctuary-campus,,,,,,
Des Moines,Neal Smith Federal Building,IA,USA,2017-02-08,,60,60,60,66,54,Bold Iowa,Against Dakota Access Pipeline,1,protest,0,0,0,0,1,1,https://twitter.com/CCIAction/status/823985271624568832,,http://www.kcrg.com/content/news/People-protest-Dakota-Access-pipeline-in-Des-Moines-412111783.html,,,,,
Iowa City,Pentacrest,IA,USA,2017-02-08,,55,55,55,60.5,49.5,Iowa Action and Student Engagement,Against DeVos Nomination for Secretary of Education,1,protest,0,0,0,0,1,1,http://daily-iowan.com/2017/02/09/protest-rails-against-devos/,,,,,,,
Champaign,201 W. University Ave,IL,USA,2017-02-08,,11,11,11,12.1,9.9,general protesters,Against Dakota Access Pipeline,1,march,0,0,0,0,1,1,http://www.illinoishomepage.net/news/local-news/people-protest-banks-connected-to-oil-pipeline/653180902,,,,,,,
Chicago,26 W. Washington St.,IL,USA,2017-02-08,,10,20,30,11,27,general protesters,Against Dakota Access Pipeline,1,sit-in,4,0,0,0,1,1,http://chicagoist.com/2017/02/08/water_protectors_protesting_dapl_ar.php,,,,,,,
Napoleonville,,LA,USA,2017-02-08,,,,,,,general protesters,against Bayou Bridge pipeline,1,protest,0,0,0,0,1,1,http://www.insidesources.com/anatomy-bayou-bridge-protest-movement/,,,,,,,
Annapolis,Government House,MD,USA,2017-02-08,,46,46,46,50.6,41.4,general protesters,Against Dakota Access Pipeline,1,protest,0,0,0,0,1,1,http://www.capitalgazette.com/multimedia/photos/cgnews-annapolis-dakota-access-pipeline-protest-20170208-photogallery.html,,,,,,,
Bozeman,,MT,USA,2017-02-08,,,,,,,general protesters,Against Sen. Daines silencing of Sen. Elizabeth Warren,1,protest,0,0,0,0,1,1,http://www.ktvq.com/story/34461898/protesters-gather-to-protest-daines-after-senate-floor-controversy,,,,,,,
Bozeman,11th and Main St.,MT,USA,2017-02-08,,24,24,24,26.4,21.6,High Schol Students,Against DeVos Nomination for Secretary of Education,1,protest,0,0,0,0,1,1,http://www.kbzk.com/story/34461410/bozeman-students-protest-devos-daines,,,,,,,
Helena,30 W. 14th St.,MT,USA,2017-02-08,,20,20,20,22,18,general protesters,Against Sen. Daines silencing of Sen. Elizabeth Warren,1,protest,0,0,0,0,1,1,http://helenair.com/news/politics/state/about-protest-warren-silencing-at-daines-helena-office/article_cb5e248f-c594-5aa0-8195-b543dd6035d4.html,,,,,,,
Kalispell,,MT,USA,2017-02-08,,30,30,30,33,27,Big Sky Rising,Against Sen. Daines silencing of Sen. Elizabeth Warren,1,protest,0,0,0,0,1,1,http://www.dailyinterlake.com/article/20170208/ARTICLE/170209882,,http://www.ktvq.com/story/34461898/protesters-gather-to-protest-daines-after-senate-floor-controversy,,,,,
Missoula,,MT,USA,2017-02-08,,30,30,30,33,27,Missoula Rises,Condemning Sen. Daines silencing of Sen. Elizabeth Warren,1,demonstration,0,0,0,0,1,1,http://billingsgazette.com/news/state-and-regional/montana/montanans-head-to-daines-offices-statewide-to-protest-warren-silencing/article_036c358a-b407-5ea2-a6bd-24972d778423.html,,,,,,,
New York,Thomas Paine Park,NY,USA,2017-02-08,,50,75,100,55,90,Nodapl.nyc,Against Dakota Access Pipeline,1,protest,0,0,0,0,1,1,https://www.instagram.com/p/BQRDt9LDSTh/,https://www.facebook.com/events/256168104825360/?active_tab=discussion,,,,,,
Pittsburgh,Station Square,PA,USA,2017-02-08,,250,275,300,275,270,high school students,Against DeVos Nomination for Secretary of Education,1,protest,0,0,0,0,1,1,http://www.wpxi.com/news/hundreds-of-students-protest-devos-outside-toomeys-station-square-office/492168359,,,,,,,
Rapid City,Ninth and Saint Joseph Streets,SD,USA,2017-02-08,,20,20,20,22,18,general protesters,Against Dakota Access Pipeline,1,protest,0,0,0,0,1,1,http://www.kotatv.com/content/news/Dakota-Access-Pipeline-opposers-take-Last-Stand-413228543.html,,,,,,,
Sacred Stone Camp,,SD,USA,2017-02-08,,76,76,76,83.6,68.4,general protesters,Against Dakota Access Pipeline,1,nonviolent occupation,76,0,0,0,1,1,http://www.sidneyherald.com/news/dapl-protesters-attempt-to-take-higher-ground/article_889bceda-edbb-11e6-a1ed-3bb93be6ec7f.html,,,,,,,
Richwood,Richwood High Schol,WV,USA,2017-02-08,,60,60,60,66,54,High School Students,Against Local school conditions,0,protest,0,0,0,0,1,1,http://www.register-herald.com/news/rhs-students-protest-condition-and-treatment-with-video/article_42d0f3b4-bc30-57b3-8650-772ca7309958.html,,,,,,,
Tuscaloosa,University of Alabama,AL,USA,2017-02-09,,75,75,75,82.5,67.5,Academics United,Against immigration executive order,1,march,0,0,0,0,1,1,http://www.tuscaloosanews.com/news/20170209/group-continues-to-protest-immigration-order,,http://www.cw.ua.edu/article/2017/02/executive-order-protest-continues-at-ua,,,,,
Tempe,Arizona State University,AZ,USA,2017-02-09,,150,150,150,165,135,Academics United,Against immigration executive order,1,demonstration,0,0,0,0,1,1,http://www.azcentral.com/story/news/local/tempe/2017/02/09/asu-students-faculty-protest-trump--travel-ban/97669044/,,http://www.statepress.com/article/2017/02/sppolitics-asu-faculty-protest-travel-ban,,,,,
Los Angeles,Metropolitan Detention Center,CA,USA,2017-02-09,,100,125,150,110,135,general protesters,Against stepped up immigration raids,1,protest,0,0,0,0,1,1,http://www.mercurynews.com/2017/02/09/reports-of-socal-immigration-sweeps-countered-as-routine-enforcement-by-ice/,http://abc7.com/politics/ice-protesters-block-101-freeway-onramp-in-downtown-la/1747197/,http://ktla.com/2017/02/09/protests-erupt-in-downtown-l-a-following-reports-of-immigration-raids-at-homes-in-l-a-san-bernardino-and-ventura-counties/,,,,,
Gainesville,University of Florida,FL,USA,2017-02-09,,50,50,50,55,45,Academics United,"Against ""Immigration ban""",1,protest,0,0,0,0,1,1,http://www.alligator.org/news/campus/article_30567cbc-ef59-11e6-890a-43950a57dcaf.html,,,,,,,
Ames,Iowa State University,IA,USA,2017-02-09,,200,200,200,220,180,Academics United,"Against ""Muslim ban""",1,protest,0,0,0,0,1,1,http://www.iowastatedaily.com/news/politics_and_administration/article_5042610a-ef02-11e6-bbc9-1b762698212b.html,,,,,,,
Champaign,University of Illinois,IL,USA,2017-02-09,,130,130,130,143,117,students and faculty,"Against ""Muslim ban""",1,protest,0,0,0,0,1,1,http://www.illinoishomepage.net/news/local-news/students-protest-travel-ban/654169035,,,,,,,
Chicago,6215 W. Foster Ave.,IL,USA,2017-02-09,,200,200,200,220,180,general protesters,against proposed housing project ,0,protest,0,0,0,0,1,1,http://nadignewspapers.com/2017/02/14/protest-goes-on-outside-church-during-arenas-community-meeting/,,,,,,,
Evanston,Northwestern University,IL,USA,2017-02-09,,200,200,200,220,180,Academics United,"Against ""Muslim ban""",1,march,0,0,0,0,1,1,https://dailynorthwestern.com/2017/02/10/campus/city-officials-students-lead-protest-against-immigration-ban/,http://www.chicagotribune.com/suburbs/evanston/news/ct-evr-northwestern-immigration-protest-tl-0209-20170209-story.html,,,,,,
Lexington,University of Kentucky,KY,USA,2017-02-09,,24,62,100,26.4,90,students,"Against ""travel ban""",1,march,0,0,0,0,1,1,http://www.wkyt.com/content/news/Protest-on-UK-campus-over-Trump-travel-ban-413333093.html,http://www.kentucky.com/news/local/education/article131756844.html,http://www.kykernel.com/news/campus-march-protests-immigration-ban/article_305c3b48-ef09-11e6-b476-13a336134a2f.html,,,,,
Baton Rouge,Louisiana State University,LA,USA,2017-02-09,,24,24,24,26.4,21.6,Iranian Student Association,Against immigration executive order,1,protest,0,0,0,0,1,1,http://www.lsunow.com/daily/iranian-student-association-holds-free-speech-plaza-protest/article_5e970250-ef12-11e6-963f-f7ca7b566607.html,,,,,,,
Ann Arbor,University of Michigan,MI,USA,2017-02-09,,35,42.5,50,38.5,45,student protestors,against the Muslim ban,1,march,0,0,0,0,1,1,onsite eyewitness (known to team),,,,,,,
Ann Arbor,University of Michigan,MI,USA,2017-02-09,,150,150,150,165,135,Students4Justice,Demanding greater recognition of students of color,0,sit-in,0,0,0,0,0,1,https://www.michigandaily.com/section/news/students4justice-hold-sit-michigan-union,,,,,,,
Mt Pleasant,Central Michigan University,MI,USA,2017-02-09,,24,24,24,26.4,21.6,SMU students,Against Anti-Semitic messages,1,march,0,0,0,0,1,1,http://upnorthlive.com/news/local/campus-protest-held-after-student-finds-anti-semitic-valentines-day-card,,,,,,,
University,University of Mississippi,MI,USA,2017-02-09,,200,200,200,220,180,students,Against immigration executive order,1,protest,0,0,0,0,1,1,http://hottytoddy.com/2017/02/09/students-protest-trump-ban/,,,,,,,
Oxford,the Circle at U. of Miss,MS,USA,2017-02-09,,40,40,40,44,36,general protesters,against EO on immigration,1,protest,0,0,0,0,1,1,http://www.oxfordeagle.com/2017/02/10/protest-of-president-donald-trumps-travel-ban-held-on-ole-miss-campus/,,,counting from pic at link,,,,
Charlotte,University of North Carolina Charlotte,NC,USA,2017-02-09,,24,87,150,26.4,135,students,"Against ""Muslim ban""",1,protest,0,0,0,0,1,1,http://www.wcnc.com/news/local/uncc-students-stage-immigration-protest/406533915,http://www.twcnews.com/nc/charlotte/news/2017/02/9/uncc-students-protest-against-trumps-travel-ban.html,http://www.wsoctv.com/news/local/unc-charlotte-students-rally-against-presidents-travel-ban/492553183,,,,,
Omaha,17th St. and Capitol Ave,NE,USA,2017-02-09,,24,24,24,26.4,21.6,general protesters,Against Dakota Access Pipeline,1,protest,0,0,0,0,1,1,http://www.omaha.com/news/metro/dozens-protest-dakota-access-pipeline-decision-in-omaha/article_3d314da1-c487-56ae-acb9-5a42c7d559f2.html,,,,,,,
Buffalo,B-District Building,NY,USA,2017-02-09,,70,72.5,75,77,67.5,Buffalo Anti-Racism Coalition,Protesting death of African-American Wardel Davis in police custody,1,protest,0,0,0,0,1,1,https://buffalonews.com/2017/02/09/protest-held-outside-b-district/,http://www.wgrz.com/news/local/activists-protest-police-over-mans-death/406650190,http://news.wbfo.org/post/autopsy-finds-no-cause-death-wardel-davis-supporters-protest-bpd,,,,,
Athens,Ohio University,OH,USA,2017-02-09,,100,100,100,110,90,general protestors,against immigration ban,1,protest,0,0,0,0,1,1,http://www.athensnews.com/news/campus/large-group-rallies-in-behalf-of-international-students-others/article_d031fe08-f159-11e6-b6d1-5ffbbcdfee65.html,,,,,,,
Murfreesboro,Middle Tennessee State University,TN,USA,2017-02-09,,100,100,100,110,90,general protesters,Against repeal of Affordable Care Act,1,protest,0,0,0,0,1,1,http://www.cnn.com/2017/02/10/politics/republican-town-halls-obamacare/index.html,,,,,,,
Austin,Federal Building,TX,USA,2017-02-09,,24,24,24,26.4,21.6,general protesers,Against detention of undocumented immigrant Francisco Alvarado,1,protest,0,0,0,0,1,1,http://www.statesman.com/news/local/group-protests-after-woman-says-immigration-officials-detained-husband/Oln6Qo56ql9oW4LSI4H1tK/,,,,,,,
Waco,Texas Ranger Hall of Fame,TX,USA,2017-02-09,,60,65,70,66,63,general protesters,LGBT rights; abortion rights; immigrant rights,1,protest,0,0,0,0,1,1,http://www.wacotrib.com/news/police/limits-on-waco-protesters-went-too-far-police-chief-says/article_75116f60-f9ab-5607-86f6-cfa73788cde8.html,http://www.kwtx.com/content/news/Governor-Abbott-met-with-protest-in-Waco--413368833.html,,,,,,
Cottonwood Heights,Brighton High Schol,UT,USA,2017-02-09,,1200,1200,1200,1320,1080,general protesters,"Various, general anti-Trump administration",1,protest,1,0,0,0,1,1,http://www.cnn.com/2017/02/10/politics/republican-town-halls-obamacare/index.html,http://www.chicagotribune.com/news/nationworld/politics/ct-jason-chaffetz-town-hall-utah-20170209-story.html,,,,,,
Blacksburg,Virginia Tech University,VA,USA,2017-02-09,,100,100,100,110,90,Academics United,Against immigration executive order,1,protest,0,0,0,0,1,1,http://www.wdbj7.com/content/news/Virginia-Tech-students-faculty-protest-President-Trumps-views-on-immigration-413349783.html,,,,,,,
Milwaukee,University of Wisconsin - Milwaukee,WI,USA,2017-02-09,,28,28,28,30.8,25.2,Academics United,Against immigration executive order,1,protest,0,0,0,0,1,1,http://fox6now.com/2017/02/09/it-is-affecting-our-life-uwm-students-faculty-protest-pres-trumps-executive-order-on-immigration/,,,,,,,
Juneau,State Capitol,AK,USA,2017-02-10,,26,26,26,28.6,23.4,Fairbanks Climate Action Coalition,Against ANWR Drilling,1,protest,0,0,0,0,1,1,http://juneauempire.com/slideshow/2017-02-10/anwr-drilling-protest-feb-10-2017#slide-5,,,,,,,
Colorado Springs,near Wells Fargo bank at 90 S. Cascade Ave,CO,USA,2017-02-10,,30,30,30,33,27,Green Party of the Pikes Peak Region,against Dakota Access Pipeline,1,protest,2,0,0,0,1,1,http://gazette.com/two-dakota-access-pipeline-protesters-arrested-in-colorado-springs/article/1596545,,,,,,,
Washington,Jefferson Middle School Academy,DC,USA,2017-02-10,,36,36,36,39.6,32.4,teachers,Against Secretary of Education DeVos,1,protest,1,0,0,0,1,1,http://www.nbcwashington.com/news/local/DC-Parents-Teachers-to-Protest-Devos-Middle-School-413364093.html,http://wjla.com/news/local/teachers-parents-want-education-secretary-betsy-devos-to-hear-their-message,https://www.washingtonpost.com/local/education/protesters-rally-at-dc-school-ahead-of-visit-by-education-secretary-betsy-devos/2017/02/10/faad4962-ef06-11e6-b4ff-ac2cf509efe5_story.html?hpid=hp_hp-more-top-stories_devos-nhp%3Ahomepage%2Fstory&utm_term=.df1382bf738f,,,,,
Sarasota,Planned Parenthood,FL,USA,2017-02-10,,200,200,200,220,180,,pro-Planned Parenthood,1,protest,0,0,0,0,1,1,http://www.heraldtribune.com/news/20170210/dual-rallies-in-front-of-planned-parenthood-in-sarasota,,,,,,,
Sarasota,Planned Parenthood,FL,USA,2017-02-10,,40,40,40,44,36,,pro-life,2,rally,0,0,0,0,0,1,http://www.heraldtribune.com/news/20170210/dual-rallies-in-front-of-planned-parenthood-in-sarasota,,,,,,,
Greensboro,,GA,USA,2017-02-10,,300,300,300,330,270,general protesters,anti-Trump,1,protest,0,0,0,0,1,1,http://www.npr.org/2017/02/11/514650918/protesters-in-georgia-crowd-meeting-with-congressional-staff,,,,,,,
Paterson,Rep. Frelinghuysen's office,NJ,USA,2017-02-10,,430,430,430,473,387,NJ 11th for Change,calling for town hall with representative,1,protest,0,0,0,0,1,1,http://www.dailyrecord.com/story/news/local/new-jersey/2017/02/10/protesters-demand-frelinghuysen-hold-town-hall/97748392/,,,,,,,
Lower Manhattan,Washington Square,NY,USA,2017-02-10,,100,100,100,110,90,general protestors,against immigration ban,1,protest,0,0,0,0,1,1,http://newyork.cbslocal.com/2017/02/11/washington-square-park-immigration-protest/,,,,,,,
New York,ICE Headquarters,NY,USA,2017-02-10,,100,550,1000,110,900,general protesters,Againts ICE raids; Against immigration executive order,1,protest,0,0,0,0,1,1,http://newyork.cbslocal.com/2017/02/10/ice-protests/,http://thehill.com/blogs/blog-briefing-room/news/319062-protests-erupt-in-nyc-over-immigration-enforcement-raids,https://twitter.com/JackSmithIV/status/830207219992031235,,,,,
Clermont County,,OH,USA,2017-02-10,,24,24,24,26.4,21.6,general protestors,supporting Obamacare,1,rally,0,0,0,0,1,1,http://www.cincinnati.com/story/news/2017/02/11/pro-obamacare-protest-clermont-county-goes-viral/97789642/,,,,,,,
Oklahoma City,State Capitol,OK,USA,2017-02-10,,,,,,,general protestors,against immigration ban,1,protest,0,0,0,0,1,1,http://kfor.com/2017/02/10/i-fear-for-all-of-the-other-people-affected-by-this-oklahomans-band-together-at-no-ban-no-wall-rally/,,,,,,,
Austin,North Lamar Blvd. and Rundberg Ln.,TX,USA,2017-02-10,,100,100,100,110,90,general protesters,Against detention of undocumented immigrants,1,protest,2,0,0,1,1,1,http://kxan.com/2017/02/11/hundreds-gather-to-protest-against-latest-federal-immigration-operations/,http://www.myssnews.com/index.php?option=com_content&view=article&id=35312:austin-police-car-set-on-fire-during-immigration-protest&catid=94:state-news&Itemid=351,,,,,,
Anchorage,Planned Parenthood,AK,USA,2017-02-11,,1,1,1,1.1,0.9,protestor,Supporting Planned Parenthood,1,protest,0,0,0,0,1,1,https://www.adn.com/alaska-news/2017/02/11/anchorage-protesters-rally-against-planned-parenthood/,,,,,,,
Anchorage,Planned Parenthood,AK,USA,2017-02-11,,25,25,25,27.5,22.5,general protesters,Defunding Planned Parenthood,2,protest,0,0,0,0,0,1,https://www.adn.com/alaska-news/2017/02/11/anchorage-protesters-rally-against-planned-parenthood/,,,,,,,
Flagstaff,,AZ,USA,2017-02-11,,,,,,,general protesters,Supporting Planned Parenthood,1,protest,0,0,0,0,1,1,http://www.fox10phoenix.com/news/arizona-news/235229583-story,,,,,,,
Flagstaff,,AZ,USA,2017-02-11,,,,,,,general protesters,Defunding Planned Parenthood,2,protest,0,0,0,0,0,1,http://www.fox10phoenix.com/news/arizona-news/235229583-story,,,,,,,
Mesa,1235 S Gilbert Rd.,AZ,USA,2017-02-11,,150,150,150,165,135,general protesters,Defunding Planned Parenthood,2,protest,0,0,0,0,1,1,http://www.fox10phoenix.com/news/arizona-news/235229583-story,,,,,,,
